concept,label,comment,identifier,inscheme
https://data.antwerp.be/id/term/adlib-people/name-type/person,Persoon,"
",http://vocab.getty.edu/aat/300024979,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/printer,Drukker,"
",http://vocab.getty.edu/aat/300025732,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/prodcomp,Fabrikant,"
",http://vocab.getty.edu/aat/300419391,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/publ,Uitgever,"
",http://vocab.getty.edu/aat/300025574,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/shipper,Transporteur,"
",http://vocab.getty.edu/aat/300025875,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/supplier,Leverancier,"
",http://vocab.getty.edu/aat/300025252,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/valuer,Taxateur,"
",http://vocab.getty.edu/aat/300025829,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-thesau/term-status,Term status,"
","
",https://data.antwerp.be/id/term/adlib-thesau
https://data.antwerp.be/id/term/adlib-thesau/term-type,Term soort,"
","
",https://data.antwerp.be/id/term/adlib-thesau
https://data.antwerp.be/id/term/adlib-thesau/term-status/0,Niet gedefinieerd,"
",http://vocab.getty.edu/aat/300379012,https://data.antwerp.be/id/term/adlib-thesau/term-status
https://data.antwerp.be/id/term/adlib-thesau/term-status/1,Voorkeursterm,"
",http://vocab.getty.edu/aat/300404670,https://data.antwerp.be/id/term/adlib-thesau/term-status
https://data.antwerp.be/id/term/adlib-thesau/term-status/2,Niet-voorkeursterm,"
",http://vocab.getty.edu/aat/300264273,https://data.antwerp.be/id/term/adlib-thesau/term-status
https://data.antwerp.be/id/term/adlib-thesau/term-status/3,Kandidaat,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-status
https://data.antwerp.be/id/term/adlib-thesau/term-status/5,Verworpen,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-status
https://data.antwerp.be/id/term/adlib-thesau/term-type/acqmeth,Verwervinsgmethode,"
",http://vocab.getty.edu/aat/300417634,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/activ,Activiteit,"
",http://vocab.getty.edu/aat/300404112,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/animal,Dier,"
",http://vocab.getty.edu/aat/300249525,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/aspect,Aspect,"
",https://www.wikidata.org/wiki/Q21040055,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/assoc,Associatie,"
",http://vocab.getty.edu/aat/300452097,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/coll,Collectie,"
",http://vocab.getty.edu/aat/300025976,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/concept,Concept,"
",https://www.wikidata.org/wiki/Q151885,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/cond,Toestand,"
",http://vocab.getty.edu/aat/300389724,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/country,Land,"
",http://vocab.getty.edu/aat/300387506,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/dim,Afmeting,"
",http://vocab.getty.edu/aat/300266036,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/dispmeth,Afstotingsmethode,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/doctype,Type document,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/event,Gebeurtenis,"
",http://vocab.getty.edu/aat/300069084,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/geokeyw,Geografisch trefwoord,"
",http://vocab.getty.edu/aat/300248479,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/guide,Gidsterm,"
",http://vocab.getty.edu/aat/300386700,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/insctype,Soort opschrift,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/keyword,Trefwoord,"
",http://vocab.getty.edu/aat/300311841,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/language,Taal,"
",http://vocab.getty.edu/aat/300386046,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/loss,Verlies/schade methode,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/mater,Materiaal,"
",http://vocab.getty.edu/aat/300010358,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/motif,Motief,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/movement,Verplaatsing methode,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/namtype,Type objectnaam,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/nationality,Nationaliteit,"
",http://vocab.getty.edu/aat/300379842,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/objcat,Objectcategorie,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/object,Objectnaam,"
",http://vocab.getty.edu/aat/300311889,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/occupation,Beroep,"
",http://vocab.getty.edu/aat/300393201,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/people,Volk,"
",http://vocab.getty.edu/aat/300192630,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/period,Periode,"
",http://vocab.getty.edu/aat/300081446,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/place,Plaats,"
",http://vocab.getty.edu/aat/300248479,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/preservationform,Bewaarvorm,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/propname,Eigennaam,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/repro-type,Soort reproductie,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/research,Onderzoek/gebruik methode,"
",http://vocab.getty.edu/aat/300054687,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/research-result,Onderzoek/gebruik resultaat,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/role,Rol,"
",http://vocab.getty.edu/aat/300435108,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/school,School/stijl,"
",http://vocab.getty.edu/aat/300404284,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/script,Schrift,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/subject,Onderwerp,"
",http://vocab.getty.edu/aat/300404126,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/techn,Techniek,"
",http://vocab.getty.edu/aat/300138082,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/topterm,Topterm,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/transport,Transport,"
",http://vocab.getty.edu/aat/300055244,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/treat,Behandeling,"
","
",https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/unit,Eenheid,"
",https://www.wikidata.org/wiki/Q147574,https://data.antwerp.be/id/term/adlib-thesau/term-type
https://data.antwerp.be/id/term/aspace-agents/agent-type,Agent type,"
","
",https://data.antwerp.be/id/term/aspace-agents
https://data.antwerp.be/id/term/aspace-agents/identifier-type,Identificator type,"
","
",https://data.antwerp.be/id/term/aspace-agents
https://data.antwerp.be/id/term/aspace-agents/agent-type/agent-corporate-entity,Corporatieve entiteit,"
","
",https://data.antwerp.be/id/term/aspace-agents/agent-type
https://data.antwerp.be/id/term/aspace-agents/agent-type/agent-family,Familie,"
",http://vocab.getty.edu/aat/300055474,https://data.antwerp.be/id/term/aspace-agents/agent-type
https://data.antwerp.be/id/term/aspace-agents/agent-type/agent-person,Persoon,"
","
",https://data.antwerp.be/id/term/aspace-agents/agent-type
https://data.antwerp.be/id/term/aspace-agents/identifier-type/lh,Letterenhuis,"
","
",https://data.antwerp.be/id/term/aspace-agents/identifier-type
https://data.antwerp.be/id/term/aspace-agents/identifier-type/mpm,Museum Plantin-Moretus,"
","
",https://data.antwerp.be/id/term/aspace-agents/identifier-type
https://data.antwerp.be/id/term/aspace-agents/identifier-type/rub,Rubenshuis,"
","
",https://data.antwerp.be/id/term/aspace-agents/identifier-type
https://data.antwerp.be/id/term/aspace-collect/date-type,Datum Type,"
","
",https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/extent-type,Omvang Type,"
","
",https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/language,Taal,"
",http://vocab.getty.edu/aat/300386046,https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/level,Niveau,"
","
",https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/note-type,Annotatie type,"
","
",https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/restrictions-apply,Beperkingen van toepassing,"
","
",https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/role,Rol,"
","
",https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/setspec,Object type,"
","
",https://data.antwerp.be/id/term/aspace-collect
https://data.antwerp.be/id/term/aspace-collect/date-type/inclusive,Inclusief,"
","
",https://data.antwerp.be/id/term/aspace-collect/date-type
