concept;parent;label;comment;aat_identifier
https://data.antwerp.be/id/term/adlib-location/package-location;https://data.antwerp.be/id/term/adlib-location;Verpakking of standplaats;;http://vocab.getty.edu/aat/300008347
https://data.antwerp.be/id/term/adlib-location/package-location/location;https://data.antwerp.be/id/term/adlib-location/package-location;Lokatie;;http://vocab.getty.edu/aat/300248479
https://data.antwerp.be/id/term/adlib-location/package-location/package;https://data.antwerp.be/id/term/adlib-location/package-location;Verpakking;;http://vocab.getty.edu/aat/300404445
https://data.antwerp.be/id/term/adlib-people;https://data.antwerp.be/id/term/adlib-collect;Agent (adlib);;
https://data.antwerp.be/id/term/adlib-people/gender;https://data.antwerp.be/id/term/adlib-people;Geslacht;;http://vocab.getty.edu/aat/300055147
https://data.antwerp.be/id/term/adlib-people/gender/female;https://data.antwerp.be/id/term/adlib-people/gender;Vrouw;;http://vocab.getty.edu/aat/300189557
https://data.antwerp.be/id/term/adlib-people/gender/male;https://data.antwerp.be/id/term/adlib-people/gender;Man;;http://vocab.getty.edu/aat/300189559
https://data.antwerp.be/id/term/adlib-people/gender/unknown;https://data.antwerp.be/id/term/adlib-people/gender;Niet gekend;;http://vocab.getty.edu/aat/300379012
https://data.antwerp.be/id/term/adlib-people/name-status;https://data.antwerp.be/id/term/adlib-people;Naam status;;
https://data.antwerp.be/id/term/adlib-people/name-status/0;https://data.antwerp.be/id/term/adlib-people/name-status;Niet gedefinieerd;;http://vocab.getty.edu/aat/300379012
https://data.antwerp.be/id/term/adlib-people/name-status/1;https://data.antwerp.be/id/term/adlib-people/name-status;Goedgekeurd;;http://vocab.getty.edu/aat/300379394
https://data.antwerp.be/id/term/adlib-people/name-status/3;https://data.antwerp.be/id/term/adlib-people/name-status;Kandidaat;;
https://data.antwerp.be/id/term/adlib-people/name-status/7;https://data.antwerp.be/id/term/adlib-people/name-status;Goedgekeurd, geen URI;;
https://data.antwerp.be/id/term/adlib-people/name-status/8;https://data.antwerp.be/id/term/adlib-people/name-status;Niet-voorkeursterm;;http://vocab.getty.edu/aat/300264273
https://data.antwerp.be/id/term/adlib-people/name-type;https://data.antwerp.be/id/term/adlib-people;Naam type;;
https://data.antwerp.be/id/term/adlib-people/name-type/acquisitionsource;https://data.antwerp.be/id/term/adlib-people/name-type;Verwervingsbron;;
https://data.antwerp.be/id/term/adlib-people/name-type/auctioneer;https://data.antwerp.be/id/term/adlib-people/name-type;Veilingmeester;;http://vocab.getty.edu/aat/300025208
https://data.antwerp.be/id/term/adlib-people/name-type/author;https://data.antwerp.be/id/term/adlib-people/name-type;Auteur;;http://vocab.getty.edu/aat/300025492
https://data.antwerp.be/id/term/adlib-people/name-type/collect;https://data.antwerp.be/id/term/adlib-people/name-type;Collectioneur;;http://vocab.getty.edu/aat/300025976
https://data.antwerp.be/id/term/adlib-people/name-type/corporate;https://data.antwerp.be/id/term/adlib-people/name-type;Bedrijf;;http://vocab.getty.edu/aat/300445020
https://data.antwerp.be/id/term/adlib-people/name-type/curator;https://data.antwerp.be/id/term/adlib-people/name-type;Curator;;http://vocab.getty.edu/aat/300025633
https://data.antwerp.be/id/term/adlib-people/name-type/donor;https://data.antwerp.be/id/term/adlib-people/name-type;Donor;;http://vocab.getty.edu/aat/300025240
https://data.antwerp.be/id/term/adlib-people/name-type/family;https://data.antwerp.be/id/term/adlib-people/name-type;Familie;;http://vocab.getty.edu/aat/300055474
https://data.antwerp.be/id/term/adlib-people/name-type/illus;https://data.antwerp.be/id/term/adlib-people/name-type;Illustrator;;http://vocab.getty.edu/aat/300025123
https://data.antwerp.be/id/term/adlib-people/name-type/inst;https://data.antwerp.be/id/term/adlib-people/name-type;Instelling;;http://vocab.getty.edu/aat/300026004
https://data.antwerp.be/id/term/adlib-people/name-type/maker;https://data.antwerp.be/id/term/adlib-people/name-type;Vervaardiger;;http://vocab.getty.edu/aat/300251917
https://data.antwerp.be/id/term/adlib-people/name-type/perskeyw;https://data.antwerp.be/id/term/adlib-people/name-type;Persoonlijk trefwoord;;http://vocab.getty.edu/aat/300263529
https://data.antwerp.be/id/term/adlib-people/name-type/person;https://data.antwerp.be/id/term/adlib-people/name-type;Persoon;;http://vocab.getty.edu/aat/300024979
https://data.antwerp.be/id/term/adlib-people/name-type/printer;https://data.antwerp.be/id/term/adlib-people/name-type;Drukker;;http://vocab.getty.edu/aat/300025732
https://data.antwerp.be/id/term/adlib-people/name-type/prodcomp;https://data.antwerp.be/id/term/adlib-people/name-type;Fabrikant;;http://vocab.getty.edu/aat/300419391
https://data.antwerp.be/id/term/adlib-people/name-type/publ;https://data.antwerp.be/id/term/adlib-people/name-type;Uitgever;;http://vocab.getty.edu/aat/300025574
https://data.antwerp.be/id/term/adlib-people/name-type/shipper;https://data.antwerp.be/id/term/adlib-people/name-type;Transporteur;;http://vocab.getty.edu/aat/300025875
https://data.antwerp.be/id/term/adlib-people/name-type/supplier;https://data.antwerp.be/id/term/adlib-people/name-type;Leverancier;;http://vocab.getty.edu/aat/300025252
https://data.antwerp.be/id/term/adlib-people/name-type/valuer;https://data.antwerp.be/id/term/adlib-people/name-type;Taxateur;;http://vocab.getty.edu/aat/300025829
https://data.antwerp.be/id/term/adlib-thesau;https://data.antwerp.be/id/term/adlib-collect;Term thesaurus (adlib);;
https://data.antwerp.be/id/term/adlib-thesau/term-status;https://data.antwerp.be/id/term/adlib-thesau;Term status;;
https://data.antwerp.be/id/term/adlib-thesau/term-status/0;https://data.antwerp.be/id/term/adlib-thesau/term-status;Niet gedefinieerd;;http://vocab.getty.edu/aat/300379012
https://data.antwerp.be/id/term/adlib-thesau/term-status/1;https://data.antwerp.be/id/term/adlib-thesau/term-status;Voorkeursterm;;http://vocab.getty.edu/aat/300404670
https://data.antwerp.be/id/term/adlib-thesau/term-status/2;https://data.antwerp.be/id/term/adlib-thesau/term-status;Niet-voorkeursterm;;http://vocab.getty.edu/aat/300264273
https://data.antwerp.be/id/term/adlib-thesau/term-status/3;https://data.antwerp.be/id/term/adlib-thesau/term-status;Kandidaat;;
https://data.antwerp.be/id/term/adlib-thesau/term-status/5;https://data.antwerp.be/id/term/adlib-thesau/term-status;Verworpen;;
https://data.antwerp.be/id/term/adlib-thesau/term-type;https://data.antwerp.be/id/term/adlib-thesau;Term type;;
